,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1026.9,1027.9,15.5,14.9,96,1.7,20,3.3,50,2.5,1.0,-999,0.00,-999,0,-999
2018-12-31-02,1026.4,1027.4,15.5,14.9,96,1.2,260,3.7,60,1.0,1.0,-999,0.00,-999,0,-999
2018-12-31-03,1026.2,1027.2,15.7,14.9,95,1.8,250,2.8,260,0.2,1.0,-999,0.00,-999,0,-999
2018-12-31-04,1026.5,1027.5,15.7,14.8,94,1.6,260,3.9,240,0.5,1.0,-999,0.00,-999,0,-999
2018-12-31-05,1026.4,1027.4,15.8,14.9,94,1.8,250,3.8,260,0.1,1.0,-999,0.00,5.0,0,10.0
2018-12-31-06,1027.2,1028.2,15.9,14.9,94,1.7,260,3.9,250,0.5,1.0,0.0,0.00,-999,0,-999
2018-12-31-07,1027.8,1028.8,15.9,15.1,95,1.6,270,3.0,250,0.5,1.0,0.0,0.00,-999,0,-999
2018-12-31-08,1028.1,1029.1,15.9,15.3,96,1.4,340,3.5,270,0.5,1.0,0.0,0.00,6.0,0,10.0
2018-12-31-09,1028.3,1029.3,16.1,15.3,95,3.2,270,5.8,260,2.0,1.0,0.0,0.00,6.0,0,10.0
2018-12-31-10,1028.2,1029.2,16.4,15.9,97,2.0,280,4.5,10,3.0,1.0,0.0,0.07,-999,1,10.0
2018-12-31-11,1027.5,1028.5,16.7,16.1,96,1.3,360,3.4,290,1.5,1.0,0.0,0.36,6.0,1,10.0
2018-12-31-12,1026.4,1027.4,17.0,16.1,94,1.3,30,3.0,30,1.5,1.0,0.0,0.39,-999,1,10.0
2018-12-31-13,1025.9,1026.9,17.0,16.2,95,0.4,240,2.3,110,0.5,1.0,0.0,0.60,-999,2,10.0
2018-12-31-14,1025.4,1026.4,17.2,16.6,96,0.6,240,2.4,260,0.5,0.9,0.0,0.60,10.0,2,10.0
2018-12-31-15,1025.7,1026.7,17.2,16.4,95,0.8,230,3.1,240,0.5,0.6,0.0,0.24,-999,1,10.0
2018-12-31-16,1026.5,1027.5,16.9,16.0,94,0.2,0,2.7,240,2.5,1.0,0.0,0.00,-999,0,10.0
2018-12-31-17,1027.2,1028.2,16.8,15.7,93,4.3,40,6.6,50,4.0,1.0,0.0,0.00,6.0,0,10.0
2018-12-31-18,1027.2,1028.2,16.7,15.7,94,4.2,60,7.1,60,3.5,1.0,0.0,0.00,-999,0,-999
2018-12-31-19,1027.6,1028.6,16.5,15.4,93,4.8,50,8.3,40,1.0,1.0,0.0,0.00,-999,0,-999
2018-12-31-20,1027.9,1028.9,16.1,15.1,94,5.0,50,10.8,60,2.5,1.0,-999,0.00,6.0,0,10.0
2018-12-31-21,1028.3,1029.3,16.0,15.1,94,3.7,50,6.5,60,2.0,1.0,-999,0.00,6.0,0,10.0
2018-12-31-22,1028.3,1029.3,16.1,15.3,95,1.8,40,5.1,50,2.5,1.0,-999,0.00,-999,0,-999
2018-12-31-23,1028.2,1029.2,16.1,15.2,94,1.6,30,4.3,50,2.0,1.0,-999,0.00,-999,0,-999
2018-12-31-24,1028.0,1029.0,16.0,15.3,96,1.0,20,3.1,290,3.5,1.0,-999,0.00,-999,0,-999
